2.00702, 752501
2.99009, 289441
4.01470, 162680
4.98594, 92499.3
5.98117, 64598.0
6.99092, 44400.1
7.96142, 33772.1
8.98842, 26025.0
10.0603, 21623.0
10.9711, 16954.8
11.9643, 14417.1
13.0474, 11704.3
13.9841, 10185.6
14.9881, 8812.87
15.9255, 7849.12
16.9215, 6635.76
17.8247, 6119.04
19.1043, 5173.13
19.9503, 4910.43
21.1981, 4127.38
22.1368, 3883.91
23.1171, 3489.35
24.3510, 3264.56
24.7768, 3019.08
26.0992, 2638.79
27.1136, 2417.15
28.2164, 2286.45
28.9596, 2001.34
30.3734, 1888.74
31.6910, 1707.71
32.8847, 1615.37
34.4404, 1468.17
35.6552, 1328.61
37.4283, 1219.13
38.8831, 1064.64
40.7813, 1037.26
41.3149, 950.967
43.3319, 879.458
44.9252, 844.523
46.2419, 760.929
46.2419, 693.597
48.7100, 726.484
48.4994, 651.737
49.7769, 602.730
50.4282, 701.676
51.9812, 589.782
54.2362, 550.192
56.1980, 485.083
56.9333, 513.258
59.1462, 462.455
60.2325, 400.707
63.1730, 428.920
63.1730, 378.711
66.7759, 375.435
66.5448, 334.379
68.8920, 402.451
70.0965, 360.522
70.0965, 319.242
71.6318, 290.572
74.4806, 299.541
75.1288, 271.459
75.1288, 250.321
79.1388, 274.621
79.1388, 248.876
80.8721, 226.853
84.8202, 230.828
84.8202, 204.399
88.1935, 191.508
89.3474, 200.879
92.4990, 171.804
92.4990, 158.885
94.5250, 192.341
97.4361, 161.669
97.4361, 146.089
98.2842, 190.678
102.193, 149.512
104.885, 138.270
106.257, 107.481
108.490, 123.936
110.005, 141.920
112.317, 106.367
114.380, 124.583
117.902, 103.811
117.902, 95.1745
119.964, 132.393
117.902, 119.289
124.627, 98.8822
124.195, 86.2518
129.134, 79.9973
130.824, 103.811
130.824, 93.5354
130.824, 84.2770
135.909, 72.5816
137.807, 92.9953
137.807, 82.3474
142.668, 70.8376
142.668, 95.1745
145.792, 64.1037
143.909, 55.0642
150.282, 75.9350
153.574, 69.0156
152.910, 60.0608
158.853, 55.5445
161.071, 71.6628
161.071, 64.5694
161.771, 49.3987
167.332, 58.3131
168.204, 68.4187
168.935, 49.1847
173.385, 45.4862
171.888, 39.5844
174.137, 60.5848
175.653, 54.9050
177.182, 27.4846
